trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.7, 'e': 0.3867410234545012}",30,17,2.473836794177947,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.38289288597511206}",35,0,-46.59598284883469,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.7, 'e': 0.37908303810339883}",30,18,23.14554850233804,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.37531109885139957}",30,10,-54.48406653617377,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
99,False,"{'a': 0.7, 'e': 0.3715766910220457}",30,13,-38.363602557244576,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.7, 'e': 0.36787944117144233}",25,0,11.229447705359084,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.7, 'e': 0.3642189795715233}",25,8,-26.522577642631873,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.7, 'e': 0.3605949401730783}",20,0,-50.8614965402368,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
103,False,"{'a': 0.7, 'e': 0.3570069605691474}",25,16,14.098172100266954,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.35345468195878016}",20,0,-31.633419362153894,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.7, 'e': 0.3499377491111554}",25,0,-47.28054024269041,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
106,False,"{'a': 0.7, 'e': 0.34645581033005746}",25,6,-23.045730799427893,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.3430085174187067}",30,7,11.072337026439442,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.33959552564493917}",25,15,-21.463799037488307,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.7, 'e': 0.33621649370673334}",20,0,-49.42576522618686,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.7, 'e': 0.33287108369807955}",20,6,-27.618484238217263,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.7, 'e': 0.32955896107518906}",20,12,-7.3832809920835745,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.32627979462303947}",20,9,-33.719673661846514,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.7, 'e': 0.3230332564222529}",20,0,7.566889714065505,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
114,False,"{'a': 0.7, 'e': 0.3198190218163039}",30,0,-13.656534556585033,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.7, 'e': 0.3166367693790532}",20,4,8.016895426046888,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.3134861808826053}",20,0,-103.81601875229394,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
117,False,"{'a': 0.7, 'e': 0.31036694126548503}",20,7,-0.5825744598477416,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.30727873860113125}",20,13,-17.381396699569788,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.3042212640667041}",25,3,-35.553683144871556,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.7, 'e': 0.30119421191220214}",25,0,-26.72043290010914,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
121,False,"{'a': 0.7, 'e': 0.2981972794298874}",20,6,-15.489736736158374,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.7, 'e': 0.2952301669240142}",25,10,-9.794858546712803,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.2922925776808594}",20,9,17.41850593298541,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.28938421793905067}",20,14,6.919923512653317,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
