trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,0,-42.62516543294309,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.28938421793905067}",25,19,9.771507191338637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,8,12.095864681104821,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,0,20.504424734747474,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,10,7.483173627266417,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,16,8.202760304071067,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",30,1,-13.696028501815375,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,14,9.720319864289163,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26982005638468687}",25,11,-20.01871061073304,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2671353019658504}",30,10,-1.2429699925960382,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,0,29.324041271256874,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.261845668580326}",20,3,6.317718289957609,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,4,5.097736370643702,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,14,-0.27192736469299605,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,2,-4.571698348618858,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2515785530597565}",25,0,25.641852395553798,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.2490753046316682}",30,20,-6.500298891740988,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160646}",25,4,36.92515201317448,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",25,19,-0.9054972430365005,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703648}",25,13,6.340470666945745,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",30,0,22.22162345384214,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.2369277586821218}",30,23,-1.3920304012378468,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379768}",20,11,13.078820330743833,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23223627472975886}",25,14,-16.915172244918253,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672387}",20,14,11.637449113986348,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381276}",20,15,9.065020178699267,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943875}",25,11,13.860621569459235,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842985}",30,12,23.58785391355252,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22090997795937822}",30,13,-61.978824117383176,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221477}",25,0,23.92304850543303,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",25,20,11.955837802070945,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697797}",20,4,-9.94254248843595,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674307}",30,11,14.316562237751814,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076475}",30,7,5.863934726053671,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,8,-1.5786962381507335,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488347}",20,11,7.3225800549522235,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421345}",25,20,11.016702209429647,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2018965179946554}",25,0,-27.060163765493375,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",25,19,11.89853191534463,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361468}",20,0,8.841709928647882,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",25,15,18.29891708829881,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,10,10.033033937334244,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1920499086207541}",25,11,27.38378899166277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19013898010152053}",30,16,27.521439017557803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",30,23,12.129567291225598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603941}",25,10,-7.640633873117771,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.1845195239929893}",30,20,6.208228606723583,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",35,18,24.84528884874923,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,12,-12.213223343639392,"{0: 4, 1: 4, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149325}",20,14,10.47371769992343,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,12,10.925784409648184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.1755204006169969}",20,16,7.242660724161944,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,8,-77.02971375807941,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",30,11,22.992375319220073,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540945}",20,3,29.796052282973758,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
